time,value
0:00:47.451000,0.405969
0:00:47.479000,0.406179
0:00:47.501000,0.406179
0:00:47.523000,0.405728
0:00:47.546000,0.405742
0:00:47.569000,0.405821
0:00:47.592000,0.404606
0:00:47.614000,0.404406
0:00:47.638000,0.405039
0:00:47.660000,0.406295
0:00:47.684000,0.406012
0:00:47.709000,0.406174
0:00:47.731000,0.406137
0:00:47.753000,0.405676
0:00:47.776000,0.406049
0:00:47.798000,0.404179
0:00:47.820000,0.404843
0:00:47.845000,0.404965
0:00:47.868000,0.405369
0:00:47.891000,0.405881
0:00:47.912000,0.405849
0:00:47.935000,0.405849
0:00:47.961000,0.407854
0:00:47.983000,0.405993
0:00:48.005000,0.406118
0:00:48.029000,0.404281
0:00:48.051000,0.404719
0:00:48.075000,0.404583
0:00:48.099000,0.442078
0:00:48.120000,0.436034
0:00:48.143000,0.406807
0:00:48.166000,0.405867
0:00:48.189000,0.406384
0:00:48.210000,0.406295
0:00:48.233000,0.404676
0:00:48.257000,0.404299
0:00:48.280000,0.404555
0:00:48.302000,0.406379
0:00:48.325000,0.406086
0:00:48.348000,0.406356
0:00:48.375000,0.406110
0:00:48.400000,0.405900
0:00:48.422000,0.407003
0:00:48.446000,0.404481
0:00:48.475000,0.404183
0:00:48.496000,0.404346
0:00:48.517000,0.405653
0:00:48.539000,0.405867
0:00:48.563000,0.406602
0:00:48.587000,0.406249
0:00:48.609000,0.406012
0:00:48.632000,0.404514
0:00:48.655000,0.406458
0:00:48.677000,0.406147
0:00:48.702000,0.406035
0:00:48.725000,0.406128
0:00:48.747000,0.406016
0:00:48.770000,0.406640
0:00:48.796000,0.406039
0:00:48.818000,0.406095
0:00:48.841000,0.406114
0:00:48.865000,0.404714
0:00:48.887000,0.404667
0:00:48.910000,0.404714
0:00:48.934000,0.406016
0:00:48.957000,0.405970
0:00:48.980000,0.406789
0:00:49.001000,0.405923
0:00:49.026000,0.404728
0:00:49.049000,0.404941
0:00:49.072000,0.405141
0:00:49.098000,0.406105
0:00:49.120000,0.406658
0:00:49.143000,0.405947
0:00:49.166000,0.405839
0:00:49.189000,0.405895
0:00:49.210000,0.405844
0:00:49.235000,0.406021
0:00:49.259000,0.406100
0:00:49.281000,0.405383
0:00:49.305000,0.407110
0:00:49.330000,0.404816
0:00:49.353000,0.404035
0:00:49.376000,0.405006
0:00:49.400000,0.404727
0:00:49.424000,0.405947
0:00:49.446000,0.406081
0:00:49.472000,0.405825
0:00:49.495000,0.406072
0:00:49.517000,0.405928
0:00:49.542000,0.406054
0:00:49.566000,0.405500
0:00:49.588000,0.404733
0:00:49.611000,0.406556
0:00:49.637000,0.404616
0:00:49.659000,0.406230
0:00:49.681000,0.405584
0:00:49.705000,0.406249
0:00:49.730000,0.406155
0:00:49.753000,0.406156
0:00:49.778000,0.405956
0:00:49.801000,0.405086
0:00:49.824000,0.406621
0:00:49.847000,0.405899
0:00:49.869000,0.406816
0:00:49.891000,0.406137
0:00:49.914000,0.405612
0:00:49.939000,0.406296
0:00:49.964000,0.406374
0:00:49.986000,0.405546
0:00:50.011000,0.406281
0:00:50.035000,0.406063
0:00:50.057000,0.403941
0:00:50.080000,0.404435
0:00:50.103000,0.404495
0:00:50.128000,0.404588
0:00:50.152000,0.406030
0:00:50.173000,0.407291
